Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric",194.564000,-77.343000,90.000000,top
"C2","100nF","C_0603_1608Metric",191.008000,-77.089000,90.000000,top
"C3","100nF","C_0603_1608Metric",192.659000,-77.089000,90.000000,top
"C4","100nF","C_0603_1608Metric",186.309000,-88.011000,180.000000,top
"C5","8pF","C_0603_1608Metric",183.007000,-79.883000,0.000000,top
"C6","8pF","C_0603_1608Metric",182.499000,-84.709000,180.000000,top
"C7","1uF","C_0603_1608Metric",187.706000,-77.343000,180.000000,top
"D1","LED","LED_0805_2012Metric",200.050400,-82.600800,180.000000,top
"D2","LED","LED_0805_2012Metric",208.584800,-82.550000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",224.891600,-89.154000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",181.610000,-76.403200,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",230.441200,-82.596800,90.000000,top
"R1","10k","R_0603_1608Metric",185.039000,-77.089000,-90.000000,top
"R2","22R","R_0603_1608Metric",201.295000,-77.978000,0.000000,top
"R3","22R","R_0603_1608Metric",201.295000,-76.327000,0.000000,top
"R4","470R","R_0603_1608Metric",204.114400,-82.600800,0.000000,top
"R5","100k","R_0603_1608Metric",197.866000,-77.089000,90.000000,top
"R6","470R","R_0603_1608Metric",212.344000,-82.550000,0.000000,top
"R7","5k1","R_0603_1608Metric",224.840800,-84.683600,-90.000000,top
"R8","5k1","R_0603_1608Metric",224.840800,-79.603600,-90.000000,top
"SW1","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",221.869000,-82.550000,-90.000000,top
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",188.849000,-82.931000,-90.000000,top
"Y1","CX2016DB16000D0WZRC1","Crystal_SMD_2016-4Pin_2.0x1.6mm",182.753000,-82.296000,-90.000000,top
